HighSchool,Count,HSGPA,ColGPA,difGPA
"Bellbrook High School         ",1,4.00,2.75,1.25
"James Buchanan High School",1,4.00,3.73,0.27
"Plymouth-Salem High School    ",1,3.77,3.43,0.34
"North Broward School",1,4.00,3.33,0.67
"Berean Baptist Academy",1,3.82,2.38,1.44
"East Lyme High School         ",1,3.29,3.08,0.21
"Horizon High School",1,4.00,3.33,0.67
"Jakarta International School  ",1,2.37,3.13,-0.76
"Peoria Christian",1,3.18,2.75,0.43
"St Mary High School           ",1,3.78,3.27,0.51
"Carlsbad High School          ",1,3.77,4.00,-0.23
"Universidad Autonoma del Nores",1,3.03,2.57,0.46
"Ocean Township High School",1,4.00,3.31,0.69
"Wilmington High School",1,4.00,3.75,0.25
"Heritage International School",1,3.91,3.53,0.38
"Luverne High School           ",1,3.17,0.71,2.46
"Mountain View Christian Acad",1,3.80,2.38,1.42
"Benjamin E Mays High School   ",1,2.70,2.00,0.70
"Millington Central High School",1,3.51,1.56,1.95
"Newark Valley High School",1,3.10,2.36,0.74
"Triangle Math and Science Acad",1,3.97,2.50,1.47
"Hamilton Heights High School  ",1,3.35,4.00,-0.65
"Mead Senior High school       ",1,3.06,1.56,1.50
"Cabool High School",1,3.37,2.00,1.37
"Ronald Reagan High School",1,3.10,2.67,0.43
"Timber Creek High School      ",1,3.89,3.44,0.45
"Saint Thomas More Academy",1,4.00,4.00,0.00
"Scotts Hill High School",1,3.64,3.43,0.21
"Denmark High School",1,3.85,1.93,1.92
"Mercer Co High School         ",1,4.00,3.50,0.50
"Rocky Point High School",1,3.40,1.82,1.58
"Basha High School",1,3.98,3.40,0.58
"Serrano High School           ",1,3.14,2.83,0.31
"Tahquitz High School",1,3.19,1.16,2.03
"Judah Christian High School",1,4.00,2.00,2.00
"Urbane College",1,4.00,1.33,2.67
"Holloway Vo-Tech High School",1,3.34,1.46,1.88
"Holy Trinity Episcopal Academy",1,3.20,1.00,2.20
"Dutch Fork High School",1,3.50,2.46,1.04
"Lausanne Collegiate School",1,3.15,2.14,1.01
"Camden High School            ",1,4.00,3.00,1.00
"Archangel School",1,3.70,3.80,-0.10
"Colonial Forge High School    ",1,3.33,2.00,1.33
"Monroe County High School     ",1,3.53,2.62,0.91
"Vibgyor High School",1,3.00,3.60,-0.60
"Gloucester Catholic High Schoo",1,3.63,3.64,-0.01
"West Anchorage High School    ",1,3.26,4.00,-0.74
"International School Of Manila",1,3.48,3.15,0.33
"Cumberland Valley High School ",1,4.00,4.00,0.00
"Brentsville Dist Mid-Senior Hs",1,3.97,2.25,1.72
"Rogers High School            ",1,3.90,3.47,0.43
"Ardmore High School           ",1,4.00,3.50,0.50
"Lake Placid High School       ",1,2.96,0.65,2.31
"IMG Academy",1,3.43,2.53,0.90
"Edgewood High School",1,3.77,1.46,2.31
"Greenfield High School",1,3.85,2.67,1.18
"White Station High School",1,4.00,3.00,1.00
"Waukesha South High School",1,3.50,2.75,0.75
"William T Dwyer Comm High Scho",1,2.96,0.10,2.86
"Gilbert High School",1,3.73,3.13,0.60
"Jefferson City High School",1,2.90,0.00,2.90
"Saint Charles West High School",1,3.61,1.50,2.11
"Family Christian Acad East TN",1,3.44,1.94,1.50
"Cross Creek Christian School",1,4.00,4.00,0.00
"South Side High School",1,3.72,2.31,1.41
"Franklin Community High School",1,3.94,3.29,0.65
"Pawhuska High School",1,3.87,3.43,0.44
"Maple Grove High School       ",1,4.00,4.00,0.00
"Jackson High School           ",1,4.00,3.47,0.53
"Pine Island High School",1,3.96,4.00,-0.04
"Lafayette High School         ",1,4.00,3.50,0.50
"Lincoln-Way Comm High School  ",1,4.00,3.50,0.50
"Neuqua Valley High School",1,3.45,3.59,-0.14
"Christian Cottage School",1,3.81,3.53,0.28
"Acellus Academy",1,3.77,2.50,1.27
"Central Acad Technology Arts",1,2.55,1.79,0.76
"Our Savior New American School",1,3.93,2.13,1.80
"Coronado High School",1,4.00,2.75,1.25
"Benjamin Franklin High School ",1,3.15,3.75,-0.60
"Oak Creek-Franklin High School",1,3.69,3.33,0.36
"Mount Zion High School",1,3.42,2.29,1.13
"Walter Panas High School",1,3.40,2.83,0.57
"Leesville High School         ",1,4.00,4.00,0.00
"Union Co High School          ",1,3.98,3.25,0.73
"Mt Airy High School           ",1,4.00,3.75,0.25
"Tennessee Connections Academy",1,2.58,2.40,0.18
"St Edward High School         ",1,4.00,3.50,0.50
"Dewey High School",1,4.00,4.00,0.00
"Stratford Academy             ",1,3.56,2.79,0.77
"Alan C Pope High School       ",1,3.47,3.38,0.09
"Valor Collegiate Academy",1,3.63,3.20,0.43
"Alpha Omega Academy",1,3.65,3.75,-0.10
"Spencer County High School    ",1,4.00,2.53,1.47
"Herron High School",1,4.00,4.00,0.00
"Milton High School",1,4.00,4.00,0.00
"Christ Presbyterian Academy",1,4.00,4.00,0.00
"Muscle Shoals High School     ",1,4.00,3.88,0.12
"Milford High School           ",1,4.00,4.00,0.00
"Lafayette Sr High School      ",1,4.00,2.60,1.40
"Wright City High School       ",1,4.00,4.00,0.00
"Blue Ridge High School        ",1,4.00,3.25,0.75
"James Clemens High School",1,3.94,3.06,0.88
"Pace High School              ",1,3.66,3.40,0.26
"Franklin County High School   ",1,4.00,3.71,0.29
"Seaway District High School",1,3.32,3.29,0.03
"William Amos Hough High School",1,3.47,0.73,2.74
"Louisville High School        ",1,3.34,3.60,-0.26
"Opp High School               ",1,4.00,2.71,1.29
"Hampshire High School         ",1,4.00,3.50,0.50
"Madison Southern High School  ",1,3.43,0.40,3.03
"Westview High School",1,4.00,3.73,0.27
"Wilson High School            ",1,3.78,3.40,0.38
"Chance Transitional School",1,3.17,0.00,3.17
"North Central High School     ",1,4.00,4.00,0.00
"Vanguard Virtual High School",1,3.24,3.44,-0.20
"Chesapeake Science Point PCS",1,3.54,2.43,1.11
"Carmel High School            ",1,3.48,3.40,0.08
"Cathedral Catholic High School",1,4.00,3.56,0.44
"Arbor View High School",1,4.00,3.29,0.71
"Greenbrier High School        ",1,3.40,2.80,0.60
"Lyman High School             ",1,2.61,3.50,-0.89
"Downers Grove Comm H S South  ",1,3.69,3.00,0.69
"Saint Cecilia Academy",1,3.75,3.44,0.31
"Century High School",1,3.85,3.21,0.64
"Sanford H Calhoun High School",1,3.80,3.18,0.62
"Rio Americano High School     ",1,3.35,3.25,0.10
"Free Will Baptist School",1,3.64,2.33,1.31
"Quabbin Regional Mid/high Sch",1,3.65,4.00,-0.35
"Cardinal Gibbons Meml Hs      ",1,3.90,3.40,0.50
"Springfield High School       ",1,2.97,2.91,0.06
"Lake Minneola High School",1,3.75,2.36,1.39
"Career Magnet Academy",1,3.32,3.75,-0.43
"Pembroke Pines Charter Hs",1,3.21,0.41,2.80
"Turlock High School",1,3.56,2.25,1.31
"Bay Haven Charter Academy",1,3.12,4.00,-0.88
"Murrieta Mesa High School",1,2.84,1.80,1.04
"Vinal Technical High School",1,3.70,3.38,0.32
"Woodland High School",1,2.93,0.94,1.99
"Solon High School",1,3.18,2.00,1.18
"La Grange High School         ",1,4.00,3.18,0.82
"Colegio Inmaculada Concepcion",1,3.65,2.53,1.12
"Mill River Union High School",1,3.62,3.13,0.49
"Martha Layne Collins High Sch",1,4.00,1.53,2.47
"King George High School       ",1,3.53,2.14,1.39
"Briarcrest Christian School",1,3.91,3.50,0.41
"Pocahontas Area School",1,2.90,3.25,-0.35
"Bishop Union High School",1,3.33,1.94,1.39
"Milton High School            ",1,3.30,2.50,0.80
"Putnam Co High School         ",1,3.50,1.46,2.04
"Rockvale High School          ",1,3.75,3.71,0.04
"Campion College",1,3.90,3.73,0.17
"Lowndes High School           ",1,2.90,2.21,0.69
"McEachern High School         ",1,3.09,3.17,-0.08
"Baltimore City College",1,3.33,2.07,1.26
"J Serra High School",1,3.33,1.58,1.75
"Eagles Landing High School    ",1,3.77,4.00,-0.23
"Tattnall Co High School       ",1,3.25,2.17,1.08
"Ledgemont High School",1,2.89,2.71,0.18
"Charlotte Catholic High School",1,3.40,4.00,-0.60
"Southwestern Central Hs",1,3.10,0.80,2.30
"Kenwood High",1,2.87,0.86,2.01
"Bradford High School",1,3.81,3.43,0.38
"Whitehaven High School",1,2.85,0.47,2.38
"Morris Wilson Campus School",1,3.67,0.00,3.67
"Madison Academy",1,3.18,3.71,-0.53
"Homewood High School",1,3.00,2.79,0.21
"Academia Americana",1,0.00,4.00,-4.00
"Eastern High School           ",1,3.83,2.86,0.97
"Imperial School",1,2.44,2.50,-0.06
"Yakumo Academy Sr High Sch",1,3.32,2.86,0.46
"21st Secondary School Makkah",1,3.74,4.00,-0.26
"Benton High School            ",1,3.81,1.82,1.99
"Clay Chalkville High School   ",1,3.49,2.46,1.03
"Rabun Gap-Nacoochee High Schoo",1,3.70,3.71,-0.01
"Nativity Bvm High School",1,0.00,3.79,-3.79
"Pierce County High School     ",1,2.60,2.53,0.07
"Johns Creek High School",1,3.00,3.08,-0.08
"North Cobb High School        ",1,3.25,2.71,0.54
"Delhi Public School",1,4.00,3.73,0.27
"Ajyal Al Khafji Private Sec Sc",1,4.00,3.14,0.86
"British West Indies Collegiate",1,3.11,3.79,-0.68
"Taylor'S College              ",1,0.00,0.00,0.00
"St Mary's Kibuk GIrls Sec Sch",1,3.23,4.00,-0.77
"Kapkoros Girls Secondary Sch",1,2.83,2.27,0.56
"Neil McNeil High School",1,3.50,2.79,0.71
"Newport Middle High School",1,2.19,2.85,-0.66
"Nadderud Videregaende Skole",1,4.00,4.00,0.00
"Pham Phu Thu High School",1,3.50,3.33,0.17
"Eaton High School",1,3.95,3.71,0.24
"Gymnasium Am Stefansberg",1,3.80,4.00,-0.20
"Aldhaid Sec School for Boys",1,3.47,4.00,-0.53
"Al-Tawien Boys' School",1,3.57,4.00,-0.43
"College de Montreal",1,3.50,1.79,1.71
"Escola Secundaria Pedro Nunes",1,2.05,4.00,-1.95
"Kanyawanga High School",1,2.50,0.62,1.88
"Thetsaban 6 Udon Thani City HS",1,3.50,3.50,0.00
"Phan Boi Chau HS for Gifted",1,4.00,3.73,0.27
"Grace Academy",1,3.76,3.36,0.40
"Escuela Cristiana Bilingue Sun",1,3.80,3.67,0.13
"St Colman's College Newry",1,3.30,2.92,0.38
"Milestone College",1,4.00,3.56,0.44
"Aichi Prefectural Kariya N HS",1,3.20,3.30,-0.10
"Bilimkana-AUCA High School",1,3.10,1.92,1.18
"Stockholms Idrottsgymnasium",1,3.71,2.64,1.07
"Broadfording Christian Academy",1,2.70,2.11,0.59
"Great Panaf Schools",1,3.30,3.25,0.05
"Jumeira Baccalaureate School",1,4.00,3.00,1.00
"GLM International School",1,2.00,0.00,2.00
"Gainesville High School       ",1,3.28,3.14,0.14
"High Achievers Coach Intl Acad",1,2.55,2.42,0.13
"Lycee Al-Horreya De Bab El-Lou",1,3.70,0.00,3.70
"Tapasya Integrated School",1,2.90,3.69,-0.79
"Incheon Daegeon High School",1,3.92,3.66,0.26
"Cocoa High School             ",1,3.64,2.85,0.79
"E-Gimnazija Grammar School",1,3.83,2.82,1.01
"Scoil Mhuire Trim",1,3.80,3.63,0.17
"Punjab School Education Board",1,2.50,1.29,1.21
"St Ursula Eichi High School",1,2.61,0.38,2.23
"Rene Descartes High School",1,0.00,2.50,-2.50
"Teays Valley Christian School",1,3.09,2.86,0.23
