HighSchool,Count,HSGPA,ColGPA,difGPA
"Rhea County High School",19,3.67,2.58,1.09
"Lawrence County High School",3,3.63,2.58,1.04
"Pope John Paul II High School",7,3.24,2.58,0.66
"Kings High School             ",1,2.38,2.58,-0.20
"Madisonville North Hopkins H S",1,3.22,2.58,0.64
"Summit High School",60,3.58,2.57,1.01
"Bradley Central High School",20,3.58,2.57,1.01
"Springfield High School",18,3.58,2.57,1.01
"Yorkville High School         ",1,3.02,2.57,0.45
"Universidad Autonoma del Nores",1,3.03,2.57,0.46
"Northeast High School",13,3.42,2.56,0.86
"Westmoreland High School",5,3.65,2.55,1.10
"Clinton County High           ",6,3.58,2.55,1.03
"McNairy Central High School",3,3.60,2.55,1.06
"Scott County Senior High Schoo",1,3.89,2.55,1.34
"CAK Homeschool",3,3.75,2.55,1.20
"Roswell High School           ",2,3.00,2.55,0.45
"Cumberland County High School",90,3.73,2.54,1.19
"Scott High School",21,3.70,2.54,1.16
"Walker Valley High School",36,3.62,2.54,1.08
"Rockvale High School",15,3.50,2.54,0.96
"Gibson County High School",2,3.79,2.54,1.25
"Dobyns Bennett High School",19,3.35,2.53,0.82
"IMG Academy",1,3.43,2.53,0.90
"Spencer County High School    ",1,4.00,2.53,1.47
"Colegio Inmaculada Concepcion",1,3.65,2.53,1.12
"Pierce County High School     ",1,2.60,2.53,0.07
"Bartlett High School",18,3.64,2.52,1.13
"Gujarat Sec & Higher Sec Ed",4,2.75,2.51,0.24
"Lebanon High School",108,3.73,2.50,1.23
"Silverdale Baptist Academy",1,3.43,2.50,0.93
"Al Dhafra Private Schools",1,2.64,2.50,0.14
"Grainger High School",7,3.75,2.50,1.26
"Lockport High School          ",1,3.90,2.50,1.40
"Triangle Math and Science Acad",1,3.97,2.50,1.47
"Acellus Academy",1,3.77,2.50,1.27
"Milton High School            ",1,3.30,2.50,0.80
"Imperial School",1,2.44,2.50,-0.06
"Rene Descartes High School",1,0.00,2.50,-2.50
"Upperman High School",172,3.73,2.48,1.24
"Lipscomb Academy",9,3.51,2.48,1.03
"Columbus Christian Academy",1,3.04,2.47,0.57
"Elk Grove High School         ",2,3.34,2.47,0.88
"Northview Academy",5,3.74,2.46,1.28
"Brainerd High School",1,3.14,2.46,0.68
"Dutch Fork High School",1,3.50,2.46,1.04
"Clay Chalkville High School   ",1,3.49,2.46,1.03
"Gallatin High School",29,3.51,2.45,1.06
"Franklin Road Academy",3,3.45,2.45,1.00
"Gleason High School",1,3.33,2.44,0.89
"Hixson High School",19,3.61,2.44,1.17
"East Nashville Magnet School",4,3.53,2.44,1.09
"Baker High School             ",1,3.18,2.44,0.74
"Nashville Big Picture HS",4,3.58,2.44,1.14
"Chesapeake Science Point PCS",1,3.54,2.43,1.11
"Antioch High School",17,3.29,2.42,0.88
"Baldwin Prep School",1,4.00,2.42,1.58
"High Achievers Coach Intl Acad",1,2.55,2.42,0.13
"Cane Ridge High School",6,3.36,2.41,0.96
"Bledsoe County High School",23,3.65,2.40,1.25
"Nolensville High School",38,3.54,2.40,1.15
"Hardin County High School",3,3.75,2.40,1.36
"Waterford Union High School",1,2.54,2.40,0.14
"Tennessee Connections Academy",1,2.58,2.40,0.18
"Pigeon Forge High School",7,3.51,2.38,1.13
"Brighton High School",7,3.52,2.38,1.13
"Thomas Jefferson High School",1,2.93,2.38,0.55
"Berean Baptist Academy",1,3.82,2.38,1.44
"Mountain View Christian Acad",1,3.80,2.38,1.42
"Oak Ridge High School",33,3.41,2.37,1.05
"Penn Foster High School       ",12,3.56,2.36,1.20
"Thompson High School          ",1,2.82,2.36,0.46
"Newark Valley High School",1,3.10,2.36,0.74
"Lake Minneola High School",1,3.75,2.36,1.39
"Jackson County High School",51,3.44,2.35,1.09
"Hunters Lane High School",9,3.60,2.34,1.26
"Middle College HS Memphis",2,3.47,2.34,1.12
"Urbana High School",1,3.02,2.33,0.69
"Collins Hill High School      ",2,3.02,2.33,0.69
"Free Will Baptist School",1,3.64,2.33,1.31
"West Texas High School",1,3.65,2.31,1.34
"South Side High School",1,3.72,2.31,1.41
"Intrepid Coll Prep Independ",3,3.13,2.30,0.83
"Cannon County High School",20,3.53,2.29,1.24
"Jefferson High School         ",1,3.38,2.29,1.09
"Adamsville High School",4,3.85,2.29,1.56
"Wade Hampton High School",1,4.00,2.29,1.71
"Mount Zion High School",1,3.42,2.29,1.13
"Clarkrange High School",33,3.75,2.27,1.48
"Harriman High School",4,3.81,2.27,1.54
"Kapkoros Girls Secondary Sch",1,2.83,2.27,0.56
"Cornersville High School",7,3.66,2.25,1.41
"Brentsville Dist Mid-Senior Hs",1,3.97,2.25,1.72
"Turlock High School",1,3.56,2.25,1.31
"Bolivar Central High School",2,3.33,2.24,1.10
"Fulton High School",3,3.55,2.24,1.31
"Nesbitt Discovery Academy",1,3.60,2.23,1.37
"Lancaster Christian Academy",2,3.74,2.21,1.54
"Tennessee School For The Blind",3,3.49,2.21,1.28
"Lowndes High School           ",1,2.90,2.21,0.69
"Lavergne High School",25,3.50,2.20,1.29
"Chelsea High School           ",2,3.80,2.20,1.60
"Giles County High School",5,3.42,2.19,1.23
"Hamilton Co Coll High Chatt St",1,2.34,2.17,0.17
"Culleoka High School",3,3.68,2.17,1.51
"Tattnall Co High School       ",1,3.25,2.17,1.08
"North Side High School",3,3.21,2.15,1.06
"Austin East Magnet High School",5,3.55,2.15,1.41
"Webb School Of Knoxville",3,3.49,2.15,1.34
"Ensworth High School",3,3.27,2.14,1.13
"Lausanne Collegiate School",1,3.15,2.14,1.01
"King George High School       ",1,3.53,2.14,1.39
"Valley Academy",1,3.69,2.13,1.56
"Our Savior New American School",1,3.93,2.13,1.80
"Broadfording Christian Academy",1,2.70,2.11,0.59
"Myers Park High School        ",1,3.18,2.09,1.09
"Pearl-Cohn High School",1,3.63,2.08,1.55
"Tellico Plains High School",3,3.73,2.07,1.67
"Baltimore City College",1,3.33,2.07,1.26
"Red Bank High School",14,3.45,2.05,1.40
"Eagleville High School",10,3.51,2.03,1.48
"Central High School McMinn Co",11,3.50,2.02,1.47
"STEM School Chattanooga",12,3.41,2.00,1.41
"Carthage Central High School",1,2.80,2.00,0.80
"Claiborne High School",2,3.54,2.00,1.54
"Aurora West High School       ",1,2.58,2.00,0.58
"Benjamin E Mays High School   ",1,2.70,2.00,0.70
"Cabool High School",1,3.37,2.00,1.37
"Judah Christian High School",1,4.00,2.00,2.00
"Colonial Forge High School    ",1,3.33,2.00,1.33
"Solon High School",1,3.18,2.00,1.18
"STEP Prep Academy High School",7,3.30,1.99,1.31
"Franklin Road Christian School",3,3.50,1.94,1.56
"Clayton Valley High School",1,3.73,1.94,1.79
"Family Christian Acad East TN",1,3.44,1.94,1.50
"Bishop Union High School",1,3.33,1.94,1.39
"Denmark High School",1,3.85,1.93,1.92
"Valdosta High School          ",2,3.50,1.92,1.58
"Bilimkana-AUCA High School",1,3.10,1.92,1.18
"Rockledge High School         ",1,2.78,1.91,0.87
"Newfield High School          ",2,3.50,1.90,1.60
"Brooks High School            ",1,3.00,1.89,1.11
"Nelson County High School     ",2,3.10,1.88,1.22
"Nashville School Of The Arts",5,3.57,1.87,1.69
"Blue Springs South High School",1,3.29,1.82,1.47
"Chatt Girls Leadership Acad",3,2.87,1.82,1.05
"James Madison High School",2,1.69,1.82,-0.12
"Rocky Point High School",1,3.40,1.82,1.58
"Benton High School            ",1,3.81,1.82,1.99
"Murrieta Mesa High School",1,2.84,1.80,1.04
"Boaz High School              ",1,3.47,1.79,1.68
"Gateway Academy Brentwood",1,3.75,1.79,1.96
"Central Acad Technology Arts",1,2.55,1.79,0.76
"College de Montreal",1,3.50,1.79,1.71
"Stephen Decatur High School",2,4.00,1.78,2.22
"Harding Academy Of Memphis",2,3.16,1.78,1.38
"Chester County High School",4,3.29,1.74,1.55
"Elizabethton High School",6,3.54,1.73,1.81
"Tr Robinson High School       ",1,3.42,1.69,1.73
"South Pittsburg High School",2,3.58,1.67,1.92
"Howard School Academics & Tech",2,3.08,1.66,1.42
"Renaissance High School",2,3.62,1.60,2.02
"South Warren High School",2,3.36,1.59,1.78
"Richland High School",3,3.48,1.58,1.90
"J Serra High School",1,3.33,1.58,1.75
"Millington Central High School",1,3.51,1.56,1.95
"Mead Senior High school       ",1,3.06,1.56,1.50
"Martha Layne Collins High Sch",1,4.00,1.53,2.47
"Winder Barrow High School     ",2,2.76,1.50,1.25
"Saint Charles West High School",1,3.61,1.50,2.11
"Cordova High School",2,3.06,1.50,1.56
Connections,1,2.28,1.46,0.82
"Holloway Vo-Tech High School",1,3.34,1.46,1.88
"Edgewood High School",1,3.77,1.46,2.31
"Putnam Co High School         ",1,3.50,1.46,2.04
"Haverling High School         ",1,3.03,1.43,1.60
"Magnolia High School",1,2.88,1.42,1.46
"The Phoenix School",1,3.31,1.40,1.91
"Camden Central High School",4,3.52,1.39,2.13
"Webb School",8,2.87,1.35,1.52
"Urbane College",1,4.00,1.33,2.67
"Notre Dame-Bishop Gibbons Sch",1,2.50,1.29,1.21
"Wilson County Adult Hs",2,3.20,1.29,1.90
"Punjab School Education Board",1,2.50,1.29,1.21
"Sale Creek High School",6,3.42,1.26,2.16
"Tahquitz High School",1,3.19,1.16,2.03
"Northwood High School",1,3.51,1.15,2.36
"Carson High School",1,3.48,1.00,2.48
"Holy Trinity Episcopal Academy",1,3.20,1.00,2.20
"Woodland High School",1,2.93,0.94,1.99
"Clark County R-1 High School",1,3.14,0.93,2.21
"KIPP Nashville Collegiate HS",2,2.70,0.92,1.78
"South Forsyth High School     ",1,2.51,0.89,1.62
"Airline High School           ",1,3.21,0.87,2.34
"Kenwood High",1,2.87,0.86,2.01
"Unaka High School",3,3.67,0.81,2.86
"Southwestern Central Hs",1,3.10,0.80,2.30
"Dos Pueblos High School       ",1,3.69,0.79,2.90
"William Amos Hough High School",1,3.47,0.73,2.74
"Luverne High School           ",1,3.17,0.71,2.46
"Lake Placid High School       ",1,2.96,0.65,2.31
"Kanyawanga High School",1,2.50,0.62,1.88
"Whitehaven High School",1,2.85,0.47,2.38
"Oak Hill Academy              ",1,2.64,0.42,2.22
"Pembroke Pines Charter Hs",1,3.21,0.41,2.80
"Madison Southern High School  ",1,3.43,0.40,3.03
"St Ursula Eichi High School",1,2.61,0.38,2.23
"Warren Woods Tower High School",1,2.52,0.33,2.19
"South Broward High School     ",1,2.61,0.20,2.41
"Sacred Heart Of Jesus Hs",2,3.58,0.12,3.46
"William T Dwyer Comm High Scho",1,2.96,0.10,2.86
"William Mason High School     ",1,2.49,0.00,2.49
"East Ridge High School",1,3.61,0.00,3.61
"North Lamar High School",1,3.03,0.00,3.03
"Carl Junction R-I High School ",1,3.68,0.00,3.68
"Bartlett Yancey Senior High   ",1,2.17,0.00,2.17
"Brighton High School          ",1,3.36,0.00,3.36
"Mountain Education Center Hs",1,4.00,0.00,4.00
"Saint Vincent Pallotti HS     ",1,3.77,0.00,3.77
"McCreary Central High School  ",1,3.21,0.00,3.21
"Jefferson City High School",1,2.90,0.00,2.90
"Chance Transitional School",1,3.17,0.00,3.17
"Morris Wilson Campus School",1,3.67,0.00,3.67
"Taylor'S College              ",1,0.00,0.00,0.00
"GLM International School",1,2.00,0.00,2.00
"Lycee Al-Horreya De Bab El-Lou",1,3.70,0.00,3.70
