HighSchool,Count,HSGPA,ColGPA,difGPA
"Miss Sch For Math & Sciences  ",1,3.72,3.44,0.28
"Dunwoody High School          ",1,3.42,3.14,0.28
"The Ogburn School Inc",2,3.76,3.48,0.28
"Christian Cottage School",1,3.81,3.53,0.28
"West Ridge High School",3,3.77,3.49,0.28
"Union City High School",2,4.00,3.73,0.27
"Fayette Academy",1,4.00,3.73,0.27
"Tennessee Online Public School",2,3.52,3.25,0.27
"North Oconee High School",1,4.00,3.73,0.27
"New Hope Academy",2,3.55,3.28,0.27
"Kettle Moraine High School    ",1,4.00,3.73,0.27
"James Buchanan High School",1,4.00,3.73,0.27
"Polk County High School",2,3.21,2.94,0.27
"Westview High School",1,4.00,3.73,0.27
"Delhi Public School",1,4.00,3.73,0.27
"Phan Boi Chau HS for Gifted",1,4.00,3.73,0.27
"Hampshire Unit School",1,3.97,3.71,0.26
"Pace High School              ",1,3.66,3.40,0.26
"Incheon Daegeon High School",1,3.92,3.66,0.26
"Heritage Christian Academy",17,3.89,3.63,0.25
"Miyamura High School",1,4.00,3.75,0.25
"Wilmington High School",1,4.00,3.75,0.25
"Mt Airy High School           ",1,4.00,3.75,0.25
"Ripley High School",1,3.74,3.50,0.24
"Brookwood High School         ",1,3.24,3.00,0.24
"Weaver High School            ",1,3.53,3.29,0.24
"Eaton High School",1,3.95,3.71,0.24
"Gujarat Sec & Higher Sec Ed",4,2.75,2.51,0.24
"Athens High School            ",1,3.86,3.63,0.23
"Teays Valley Christian School",1,3.09,2.86,0.23
"Lambert High School",1,3.93,3.71,0.22
"Wauwatosa East High School",1,3.53,3.31,0.22
"Lakeside High School          ",2,3.52,3.32,0.21
"Gadsden High School           ",1,4.00,3.79,0.21
"Hononegah Comm High School",1,4.00,3.79,0.21
"Rick Reedy High Schoo.",1,3.59,3.38,0.21
"East Lyme High School         ",1,3.29,3.08,0.21
"Scotts Hill High School",1,3.64,3.43,0.21
"Homewood High School",1,3.00,2.79,0.21
"Cascade High School",6,3.82,3.61,0.20
"Cass Technical High School    ",2,3.50,3.30,0.20
"Cedar Shoals High School      ",2,3.06,2.85,0.20
"Decatur High School           ",2,3.87,3.67,0.20
"Portage Central High School",1,3.60,3.40,0.20
"Madison Academic Magnet Hs",18,3.65,3.45,0.19
"Bonny Eagle High School       ",1,3.92,3.73,0.19
"Boyd-Buchanan School",31,3.69,3.51,0.18
"Tennessee Connections Academy",1,2.58,2.40,0.18
"Ledgemont High School",1,2.89,2.71,0.18
"Hamilton Co Coll High Chatt St",1,2.34,2.17,0.17
"Deerfield-Windsor School",1,3.09,2.92,0.17
"Campion College",1,3.90,3.73,0.17
"Pham Phu Thu High School",1,3.50,3.33,0.17
"Scoil Mhuire Trim",1,3.80,3.63,0.17
"Ezell Harding Christian School",9,3.33,3.17,0.16
"Saint Benedict School",1,3.70,3.54,0.16
"Secaucus High School",1,3.41,3.25,0.16
"Space Coast Junior/senior Hs",1,2.89,2.73,0.16
"Palm Harbor Univ High School",1,3.66,3.50,0.16
"Glen Allen High School",1,3.94,3.79,0.15
"William & Reed Academy",1,2.84,2.69,0.15
"Agathos Classical School",2,3.64,3.49,0.15
"Allatoona High School",1,3.83,3.69,0.14
"Al Dhafra Private Schools",1,2.64,2.50,0.14
"Colquitt County High School   ",1,3.00,2.86,0.14
"Riverdale Baptist School",1,3.95,3.81,0.14
"Waterford Union High School",1,2.54,2.40,0.14
"Gainesville High School       ",1,3.28,3.14,0.14
"Escuela Cristiana Bilingue Sun",1,3.80,3.67,0.13
"High Achievers Coach Intl Acad",1,2.55,2.42,0.13
"Family Christian Academy",5,3.80,3.68,0.12
"McKenzie High School",2,3.84,3.72,0.12
"Bowling Green High School     ",1,4.00,3.88,0.12
"Lookout Valley High School",2,3.72,3.60,0.12
"International Sch Of Choueifat",1,3.93,3.81,0.12
"Muscle Shoals High School     ",1,4.00,3.88,0.12
"Ivy Academy",2,3.84,3.74,0.11
"American Heritage Sch Plantatn",1,3.82,3.71,0.11
"Prairie Ridge High School",3,3.67,3.56,0.11
"Rio Americano High School     ",1,3.35,3.25,0.10
"Canyon Crest Academy",1,3.92,3.83,0.09
"Alan C Pope High School       ",1,3.47,3.38,0.09
"Bloomington High School North",1,3.53,3.45,0.08
"Mose Vines Preparation Acad",1,2.90,2.82,0.08
"Carmel High School            ",1,3.48,3.40,0.08
"Covenant Academy",5,3.77,3.70,0.07
"Concord High School           ",1,3.15,3.08,0.07
"Dahlske Videregaende Skole",2,3.78,3.71,0.07
"Pierce County High School     ",1,2.60,2.53,0.07
"Dayspring Academy",3,3.76,3.70,0.06
"Christian Academy Of Knoxville",4,3.47,3.41,0.06
"Dwight D Eisenhower High Schoo",1,3.94,3.88,0.06
"Mattawan High School          ",1,3.39,3.33,0.06
"Arabia Mountain High School",1,3.82,3.76,0.06
"John S Battle High School     ",2,3.84,3.78,0.06
"Springfield High School       ",1,2.97,2.91,0.06
"Gen Org for Tech Ed/Voc Trng",4,3.51,3.46,0.06
"Richard Hardy Memorial School",5,3.68,3.64,0.05
"Princess Chulabhorn College",2,3.46,3.40,0.05
"Great Panaf Schools",1,3.30,3.25,0.05
"Jo Byrns High School",5,3.62,3.58,0.04
"Marian Catholic High School   ",1,3.23,3.19,0.04
"Rockvale High School          ",1,3.75,3.71,0.04
"Seaway District High School",1,3.32,3.29,0.03
"South Paulding High School",1,3.72,3.71,0.01
"Seton Home Study School       ",2,4.00,4.00,0.00
"Maristes Monterrat",1,4.00,4.00,0.00
"Elizabethtown Sr High School  ",1,4.00,4.00,0.00
"Macon Christian Academy",1,4.00,4.00,0.00
"Buford High School            ",1,4.00,4.00,0.00
"Keen Mountain Christian Acad",1,4.00,4.00,0.00
"Apalachee High School",2,3.65,3.64,0.00
"Union Grove High School       ",1,4.00,4.00,0.00
"East Jessamine High School",1,4.00,4.00,0.00
"Saint Thomas More Academy",1,4.00,4.00,0.00
"Cumberland Valley High School ",1,4.00,4.00,0.00
"Cross Creek Christian School",1,4.00,4.00,0.00
"Maple Grove High School       ",1,4.00,4.00,0.00
"Leesville High School         ",1,4.00,4.00,0.00
"Dewey High School",1,4.00,4.00,0.00
"Herron High School",1,4.00,4.00,0.00
"Milton High School",1,4.00,4.00,0.00
"Christ Presbyterian Academy",1,4.00,4.00,0.00
"Milford High School           ",1,4.00,4.00,0.00
"Wright City High School       ",1,4.00,4.00,0.00
"North Central High School     ",1,4.00,4.00,0.00
"Taylor'S College              ",1,0.00,0.00,0.00
"Nadderud Videregaende Skole",1,4.00,4.00,0.00
"Thetsaban 6 Udon Thani City HS",1,3.50,3.50,0.00
"Warren Hills Regional         ",1,2.99,3.00,-0.01
"Gloucester Catholic High Schoo",1,3.63,3.64,-0.01
"Dyersburg High School",3,3.36,3.37,-0.01
"Rabun Gap-Nacoochee High Schoo",1,3.70,3.71,-0.01
"P D Jackson-Olin High School  ",1,3.54,3.57,-0.03
"North Marion High School      ",1,3.68,3.71,-0.03
"FAYETTE COUNTY HIGH SCHOOL",1,3.96,4.00,-0.04
"Pine Island High School",1,3.96,4.00,-0.04
"Liberty University Online Acad",2,3.71,3.76,-0.04
"Berean Academy",1,3.95,4.00,-0.05
"Saint Louis De Gonzague",2,3.84,3.90,-0.06
"Bassfield High School",1,2.79,2.85,-0.06
"Bullard High School",1,3.94,4.00,-0.06
"Ministry Of Education",2,3.68,3.74,-0.06
"Imperial School",1,2.44,2.50,-0.06
"Comenius School.",2,3.92,4.00,-0.08
"Saint Andrews-Sewanee School",5,3.28,3.36,-0.08
"McEachern High School         ",1,3.09,3.17,-0.08
"Johns Creek High School",1,3.00,3.08,-0.08
"Christ Our Rock Lutheran Hs",1,3.66,3.75,-0.09
"Sachem High School East",1,3.70,3.79,-0.09
"Hoover High School            ",3,2.60,2.69,-0.10
"Archangel School",1,3.70,3.80,-0.10
"Alpha Omega Academy",1,3.65,3.75,-0.10
"Aichi Prefectural Kariya N HS",1,3.20,3.30,-0.10
"Collierville High School",2,3.80,3.90,-0.11
"Lincoln High School           ",1,3.89,4.00,-0.11
"Oasis International School",1,3.88,4.00,-0.12
"Jackson Memorial High School  ",1,3.35,3.47,-0.12
"James Madison High School",2,1.69,1.82,-0.12
"Woodstock High School         ",1,3.40,3.54,-0.14
"North Paulding High School",1,3.17,3.31,-0.14
"Neuqua Valley High School",1,3.45,3.59,-0.14
"Hampden Academy               ",1,2.46,2.63,-0.17
"Owensboro Cath High School    ",1,3.82,4.00,-0.18
"Kings High School             ",1,2.38,2.58,-0.20
"Sidney Lanier High School     ",1,2.80,3.00,-0.20
"Greencastle High School       ",1,2.93,3.13,-0.20
"Vanguard Virtual High School",1,3.24,3.44,-0.20
"Gymnasium Am Stefansberg",1,3.80,4.00,-0.20
"West Forsyth High School",2,3.78,4.00,-0.21
"Academy at Hickory Hollow",2,2.46,2.68,-0.22
"Carlsbad High School          ",1,3.77,4.00,-0.23
"Eagles Landing High School    ",1,3.77,4.00,-0.23
"Gateway Christian Academy",1,3.53,3.79,-0.26
"Louisville High School        ",1,3.34,3.60,-0.26
"21st Secondary School Makkah",1,3.74,4.00,-0.26
"Batavia High School           ",1,3.20,3.47,-0.27
"Girls Preparatory School",3,3.56,3.83,-0.28
"Cudahy High School",2,2.94,3.22,-0.28
"Southwest Dekalb              ",1,3.41,3.71,-0.30
"W T Woodson High School       ",1,3.06,3.38,-0.32
"Quabbin Regional Mid/high Sch",1,3.65,4.00,-0.35
"Pocahontas Area School",1,2.90,3.25,-0.35
"Kirtland High School",1,3.27,3.63,-0.36
"Russellville High School      ",1,2.54,2.93,-0.39
"Elbert County High School     ",1,3.11,3.54,-0.43
"Career Magnet Academy",1,3.32,3.75,-0.43
"Al-Tawien Boys' School",1,3.57,4.00,-0.43
"Huntsville High School        ",1,2.88,3.33,-0.45
"Jackson Christian School",1,2.87,3.40,-0.53
"Madison Academy",1,3.18,3.71,-0.53
"Aldhaid Sec School for Boys",1,3.47,4.00,-0.53
"Eastlake High School          ",1,3.44,4.00,-0.56
"Vibgyor High School",1,3.00,3.60,-0.60
"Benjamin Franklin High School ",1,3.15,3.75,-0.60
"Charlotte Catholic High School",1,3.40,4.00,-0.60
"Loganville High School        ",1,3.16,3.80,-0.64
"Hamilton Heights High School  ",1,3.35,4.00,-0.65
"Newport Middle High School",1,2.19,2.85,-0.66
"British West Indies Collegiate",1,3.11,3.79,-0.68
"Edwardsville High School      ",1,2.80,3.54,-0.74
"West Anchorage High School    ",1,3.26,4.00,-0.74
"Triad High School",1,2.79,3.54,-0.75
"Porter RIdge High School      ",1,2.95,3.71,-0.76
"Jakarta International School  ",1,2.37,3.13,-0.76
"St Mary's Kibuk GIrls Sec Sch",1,3.23,4.00,-0.77
"Tapasya Integrated School",1,2.90,3.69,-0.79
"Seminole Ridge High School",1,2.39,3.25,-0.86
"Istituto Statale Marco Belli",1,3.13,4.00,-0.87
"Bay Haven Charter Academy",1,3.12,4.00,-0.88
"Lyman High School             ",1,2.61,3.50,-0.89
"Greenville High School        ",1,2.70,3.60,-0.90
"Escola Secundaria Pedro Nunes",1,2.05,4.00,-1.95
"Branson High School           ",1,1.33,3.69,-2.36
"Rene Descartes High School",1,0.00,2.50,-2.50
0,2,0.00,3.43,-3.43
"Nativity Bvm High School",1,0.00,3.79,-3.79
"Academia Americana",1,0.00,4.00,-4.00
